order_id,order_date,customer_id,product_id,category,region,channel,quantity,unit_price,discount_rate,unit_cost
ORD100095,2023-07-27,C2489,P775,Technology,Central,Online,3,190.4,0.16,128.36
ORD100096,2023-06-22,C6931,P257,Furniture,Central,Retail,3,37.21,0.03,30.96
ORD100097,2024-05-06,C7525,P382,Technology,South,Retail,3,271.08,0.06,214.82
ORD100098,2024-04-03,C8606,P265,Furniture,South,Online,8,320.98,0.17,178.76
ORD100099,2023-04-11,C7372,P345,Furniture,East,Online,1,74.1,0.0,58.31
ORD100100,2024-08-22,C3713,P428,Furniture,East,Online,7,278.67,0.0,231.66
ORD100101,2023-05-24,C7646,P217,Furniture,South,Online,5,102.89,0.08,53.06
ORD100102,2024-08-02,C8432,P112,Technology,West,Online,1,423.14,0.04,285.45
ORD100103,2023-01-06,C3854,P494,Furniture,East,Online,6,418.4,0.08,220.42
ORD100104,2024-07-27,C2117,P730,Technology,South,Online,7,217.67,-0.0,150.69
ORD100105,2024-07-20,C9009,P372,Office Supplies,Central,Online,7,483.54,0.12,213.79
ORD100106,2024-07-15,C2331,P873,Technology,East,Retail,5,489.99,0.09,357.88
ORD100107,2024-04-23,C6343,P431,Office Supplies,South,Online,4,68.98,0.14,40.62
ORD100108,2023-12-06,C3126,P909,Furniture,Central,Retail,2,187.02,0.12,124.24
ORD100109,2024-05-22,C2134,P312,Office Supplies,Central,Online,1,302.16,0.12,124.38
ORD100110,2023-07-19,C7986,P584,Technology,South,Online,4,46.99,0.0,33.5
ORD100111,2024-07-16,C2293,P786,Technology,West,Online,6,194.41,0.14,121.16
ORD100112,2024-02-05,C7031,P153,Furniture,West,Online,1,134.28,0.07,91.49
ORD100113,2023-11-27,C7237,P936,Office Supplies,Central,Online,9,476.26,0.09,258.16
ORD100114,2023-12-31,C1541,P428,Office Supplies,East,Retail,6,208.73,0.18,97.19
ORD100115,2024-02-14,C2556,P547,Office Supplies,East,Online,3,382.52,0.04,227.96
ORD100116,2023-01-27,C8148,P664,Technology,South,Online,9,196.42,0.21,162.01
ORD100117,2023-04-11,C5565,P678,Office Supplies,East,Online,2,70.25,0.22,35.3
ORD100118,2023-06-26,C2092,P121,Office Supplies,Central,Online,9,432.26,0.16,304.37
ORD100119,2023-03-24,C9924,P879,Furniture,West,Online,3,5.21,0.02,2.2
ORD100120,2023-11-13,C3384,P660,Office Supplies,East,Online,4,32.69,0.0,23.64
ORD100121,2024-04-26,C1036,P997,Furniture,Central,Online,4,185.37,0.19,94.04
ORD100122,2024-04-16,C9316,P523,Furniture,South,Online,9,345.01,0.11,208.1
ORD100123,2023-12-06,C1149,P651,Technology,West,Online,3,174.14,0.04,98.47
ORD100124,2024-09-07,C5979,P496,Office Supplies,East,Retail,9,37.82,0.19,17.05
ORD100125,2024-02-11,C9936,P899,Office Supplies,East,Online,4,162.33,0.03,90.18
ORD100126,2023-02-27,C6199,P848,Technology,East,Online,3,126.27,0.07,70.4
ORD100127,2024-07-04,C6261,P916,Technology,South,Retail,6,7.68,0.14,4.88
ORD100128,2024-02-18,C4493,P553,Furniture,West,Online,7,269.73,0.01,225.91
ORD100129,2024-04-01,C2142,P811,Office Supplies,West,Online,4,62.74,0.09,38.37
ORD100130,2024-02-12,C6153,P422,Technology,East,Retail,2,147.31,0.19,119.54
ORD100131,2024-02-03,C9074,P514,Technology,West,Retail,4,322.39,0.12,195.92
ORD100132,2023-03-07,C1819,P783,Technology,South,Retail,5,363.93,0.2,163.18
ORD100133,2024-02-07,C8922,P172,Technology,West,Online,1,135.41,0.19,68.19
ORD100134,2024-07-26,C4735,P738,Technology,Central,Retail,1,167.95,0.1,97.98
ORD100135,2023-08-07,C5825,P114,Furniture,East,Online,9,127.22,0.0,69.52
ORD100136,2024-03-10,C2488,P622,Furniture,East,Retail,1,478.66,0.01,377.96
ORD100137,2023-01-23,C6595,P529,Office Supplies,Central,Retail,4,99.31,0.16,70.05
ORD100138,2023-09-08,C2640,P521,Office Supplies,East,Retail,7,95.67,0.0,63.17
ORD100139,2023-11-11,C3458,P544,Furniture,West,Online,3,225.29,0.07,139.92
ORD100140,2024-12-08,C7493,P542,Furniture,West,Online,5,98.71,0.13,57.13
ORD100141,2023-06-04,C1454,P466,Technology,East,Online,1,82.57,0.22,55.77
ORD100142,2023-07-19,C5024,P505,Furniture,Central,Online,8,52.46,0.05,23.93
ORD100143,2023-10-22,C6350,P610,Technology,South,Online,6,321.88,0.05,152.29
ORD100144,2024-12-15,C2188,P786,Technology,East,Retail,8,307.98,0.1,165.2
ORD100145,2024-09-06,C3652,P596,Office Supplies,South,Online,8,326.83,0.13,155.91
ORD100146,2023-01-25,C4091,P677,Furniture,Central,Online,4,387.78,0.09,273.27
ORD100147,2023-06-18,C6971,P852,Technology,Central,Online,1,166.55,0.18,68.48
ORD100148,2024-08-14,C9789,P989,Technology,East,Online,4,459.62,0.04,216.98
ORD100149,2023-02-11,C8525,P197,Technology,South,Online,2,367.94,0.11,296.62
ORD100150,2024-09-08,C2707,P740,Office Supplies,East,Online,5,403.33,0.14,342.38
ORD100151,2023-07-22,C1163,P302,Furniture,South,Retail,2,361.88,0.07,224.15
ORD100152,2024-10-22,C1467,P276,Technology,Central,Retail,9,182.44,0.17,113.64
ORD100153,2023-07-31,C6360,P812,Technology,West,Online,6,145.1,0.11,108.54
ORD100154,2023-11-09,C2406,P161,Technology,East,Online,3,214.15,0.16,89.15
ORD100155,2024-04-21,C3081,P862,Technology,Central,Online,9,53.03,0.12,31.4
ORD100156,2023-04-01,C8625,P792,Technology,East,Retail,7,228.38,0.13,101.61
ORD100157,2024-02-06,C8864,P994,Office Supplies,Central,Retail,4,26.35,0.05,15.29
ORD100158,2023-12-30,C8550,P700,Office Supplies,South,Online,2,6.95,0.05,5.86
ORD100159,2024-07-18,C3282,P884,Office Supplies,West,Retail,4,466.09,0.2,344.5
ORD100160,2024-12-18,C6576,P206,Furniture,East,Online,6,346.22,0.15,291.96
ORD100161,2024-04-23,C6496,P900,Office Supplies,East,Online,7,283.11,0.02,208.29
ORD100162,2023-10-22,C2667,P244,Technology,East,Retail,3,173.85,0.11,117.11
ORD100163,2023-10-20,C5981,P382,Office Supplies,East,Online,7,287.42,0.0,212.52
ORD100164,2023-10-28,C5726,P215,Technology,East,Online,3,446.33,0.05,310.91
ORD100165,2024-08-09,C4565,P461,Furniture,Central,Online,3,327.93,0.18,199.65
ORD100166,2023-08-20,C7764,P773,Technology,West,Online,5,303.23,0.09,161.21
ORD100167,2023-05-01,C7097,P341,Technology,South,Online,2,232.8,0.11,147.61
ORD100168,2023-08-29,C5793,P839,Furniture,South,Online,4,176.12,0.0,90.93
ORD100169,2023-01-17,C7531,P645,Office Supplies,South,Online,4,350.78,0.07,217.13
ORD100170,2023-03-18,C7867,P665,Technology,Central,Online,3,490.59,0.13,228.5
ORD100171,2023-03-06,C6101,P943,Furniture,West,Retail,7,215.26,0.14,140.87
ORD100172,2024-07-09,C3408,P488,Technology,South,Online,3,199.14,0.18,101.64
ORD100173,2024-06-04,C7825,P409,Furniture,East,Retail,7,216.92,0.08,115.43
ORD100174,2024-05-16,C7457,P994,Furniture,West,Online,7,215.64,0.09,134.68
ORD100175,2023-11-29,C9849,P600,Office Supplies,West,Online,6,495.36,0.0,234.37
ORD100176,2024-05-31,C2347,P652,Office Supplies,Central,Online,3,354.86,0.08,295.62
ORD100177,2023-04-27,C4773,P366,Office Supplies,Central,Retail,8,182.8,-0.0,109.89
ORD100178,2024-10-10,C9317,P293,Office Supplies,South,Online,3,188.89,0.0,105.5
ORD100179,2023-12-27,C5630,P252,Technology,South,Retail,3,218.24,0.01,90.16
ORD100180,2024-11-06,C9482,P300,Technology,West,Online,8,23.17,0.22,18.06
ORD100181,2023-04-20,C1112,P275,Technology,South,Online,4,266.27,0.08,181.5
ORD100182,2023-12-25,C1316,P771,Furniture,East,Online,7,406.63,0.12,238.85
ORD100183,2024-05-16,C8163,P152,Technology,South,Online,1,331.98,0.06,169.47
ORD100184,2023-12-23,C4225,P665,Office Supplies,East,Online,6,103.22,0.0,75.9
ORD100185,2023-11-18,C5681,P953,Furniture,South,Online,8,365.38,0.17,301.61
ORD100186,2023-04-30,C4851,P788,Furniture,West,Online,7,361.13,0.0,206.34
ORD100187,2023-10-02,C4671,P462,Technology,South,Online,6,134.96,0.06,62.18
ORD100188,2023-06-21,C9454,P153,Technology,East,Online,8,313.32,0.1,140.72
ORD100189,2023-08-06,C1846,P849,Furniture,West,Online,3,307.42,0.12,123.85
ORD100190,2024-05-07,C7949,P102,Technology,South,Online,4,420.69,0.04,309.11
ORD100191,2024-03-29,C9006,P712,Technology,East,Online,1,72.36,0.0,60.9
ORD100192,2024-03-13,C6916,P703,Furniture,West,Online,7,101.45,0.04,85.9
ORD100193,2023-09-18,C4554,P272,Furniture,East,Online,7,245.55,,184.87
ORD100194,2024-11-21,C2439,P765,Furniture,West,Online,7,26.85,0.04,12.7
ORD100195,2023-03-05,C7142,P257,Furniture,West,Retail,7,210.72,0.18,177.0
ORD100196,2023-09-04,C5218,P302,Technology,Central,Online,2,395.17,0.0,216.36
ORD100197,2023-03-26,C2344,P829,Technology,West,Online,6,78.61,0.12,43.25
ORD100198,2023-09-02,C4236,P980,Technology,East,Retail,7,232.67,0.11,165.03
ORD100199,2024-11-23,C9652,P337,Technology,East,Online,2,494.94,0.18,208.9
ORD100200,2023-09-21,C3388,P928,Furniture,South,Online,5,255.43,0.09,197.09
ORD100201,2024-10-16,C2605,P921,Technology,South,Retail,9,251.67,0.16,213.61
ORD100202,2023-12-23,C7137,P791,Office Supplies,East,Retail,4,281.6,0.09,210.86
ORD100203,2024-05-18,C2795,P225,Furniture,East,Retail,7,97.07,0.13,72.97
ORD100204,2023-11-26,C9278,P369,Furniture,East,Online,5,77.85,0.0,44.81
ORD100205,2023-07-11,C8729,P709,Technology,South,Online,6,340.29,0.0,146.21
ORD100206,2024-07-04,C9850,P998,Office Supplies,Central,Retail,6,200.9,0.13,152.02
ORD100207,2024-11-28,C9212,P832,Office Supplies,South,Retail,6,148.5,0.13,99.31
ORD100208,2023-07-09,C3193,P477,Furniture,West,Online,8,20.54,0.14,16.62
ORD100209,2024-07-14,C2909,P311,Office Supplies,Central,Online,9,423.79,0.06,191.63
ORD100210,2023-07-08,C4083,P963,Technology,East,Online,3,21.0,0.22,11.28
ORD100211,2024-05-31,C5227,P348,Furniture,Central,Online,9,376.24,0.06,211.56
ORD100212,2024-07-22,C8919,P407,Furniture,Central,Online,6,194.08,0.13,137.31
ORD100213,2023-11-20,C7600,P967,Office Supplies,West,Online,6,301.35,0.15,227.36
ORD100214,2024-06-14,C6799,P604,Technology,Central,Online,3,127.6,0.24,106.22
ORD100215,2023-07-16,C8904,P337,Office Supplies,Central,Online,4,81.92,0.07,43.66
ORD100216,2023-02-27,C6812,P104,Furniture,West,Online,6,269.03,0.05,167.37
ORD100217,2023-03-11,C4411,P486,Furniture,East,Online,4,349.33,0.0,144.28
ORD100218,2023-11-18,C4716,P986,Office Supplies,East,Online,3,101.77,0.22,52.29
ORD100219,2024-10-11,C5652,P488,Technology,South,Online,8,221.0,0.13,125.59
ORD100220,2023-04-02,C1798,P728,Office Supplies,West,Retail,4,225.1,0.14,150.19
ORD100221,2023-11-25,C7674,P327,Furniture,West,Online,6,111.91,0.35,68.48
ORD100222,2024-05-21,C6874,P797,Furniture,Central,Online,1,284.7,0.13,160.57
ORD100223,2023-05-26,C7579,P797,Technology,West,Online,1,77.24,-0.0,52.59
ORD100224,2024-06-03,C5804,P646,Technology,West,Online,8,257.33,0.08,198.88
ORD100225,2023-08-09,C8045,P793,Office Supplies,Central,Online,2,61.15,0.02,31.11
ORD100226,2024-08-05,C9546,P620,Technology,Central,Online,8,245.34,0.07,135.99
ORD100227,2024-02-22,C6128,P440,Furniture,Central,Online,9,159.24,0.07,114.21
ORD100228,2024-01-29,C4999,P763,Technology,East,Online,5,228.86,0.05,171.66
ORD100229,2023-05-08,C1941,P850,Office Supplies,West,Online,8,219.71,0.0,169.49
ORD100230,2023-11-30,C8007,P856,Furniture,West,Online,4,454.43,0.23,224.58
ORD100231,2024-09-08,C9134,P291,Furniture,Central,Online,9,247.52,0.12,159.07
ORD100232,2023-01-15,C7294,P708,Furniture,East,Online,3,410.16,0.08,330.18
ORD100233,2024-06-30,C8789,P103,Technology,East,Online,4,116.7,0.16,67.26
ORD100234,2023-12-21,C8749,P614,Furniture,South,Online,4,179.28,0.14,106.39
ORD100235,2024-06-02,C8182,P613,Office Supplies,Central,Online,8,42.17,0.12,35.56
ORD100236,2024-04-22,C5525,P426,Technology,South,Online,1,213.27,0.15,96.16
ORD100237,2023-11-08,C1898,P993,Office Supplies,West,Online,8,336.01,0.11,241.09
ORD100238,2023-08-11,C1029,P893,Office Supplies,South,Retail,1,419.89,0.15,328.6
ORD100239,2024-03-27,C2839,P134,Office Supplies,West,Retail,3,285.13,0.16,133.4
ORD100240,2023-04-11,C4878,P287,Technology,Central,Retail,6,321.84,0.11,232.21
ORD100241,2024-02-25,C7691,P286,Office Supplies,East,Online,2,92.75,0.08,56.71
ORD100242,2023-03-10,C5101,P906,Office Supplies,South,Online,5,23.42,0.22,18.36
ORD100243,2024-04-12,C1208,P566,Technology,West,Online,9,396.89,0.06,320.83
ORD100244,2024-03-28,C2892,P755,Furniture,South,Online,8,87.68,0.13,69.5
ORD100245,2023-03-02,C9812,P828,Technology,West,Online,1,50.13,0.13,21.5
ORD100246,2024-06-29,C9891,P790,Furniture,South,Online,6,469.09,0.05,347.4
ORD100247,2023-10-27,C4393,P180,Technology,West,Online,6,481.94,0.04,392.63
ORD100248,2024-07-20,C8244,P226,Furniture,East,Online,1,310.05,0.07,210.71
ORD100249,2023-01-30,C7473,P455,Office Supplies,East,Online,6,192.43,0.06,129.0
ORD100250,2023-05-10,C9380,P404,Technology,Central,Retail,5,417.45,0.0,175.43
ORD100251,2023-12-22,C8987,P771,Technology,East,Online,7,106.34,0.05,83.5
ORD100252,2023-05-16,C6658,P240,Furniture,West,Retail,3,217.55,0.12,91.56
ORD100253,2023-08-26,C4551,P434,Furniture,Central,Online,3,181.72,0.2,98.32
ORD100254,2024-04-20,C6639,P312,Technology,West,Online,7,456.79,0.14,373.03
ORD100255,2023-04-15,C3871,P269,Office Supplies,East,Online,7,460.29,0.0,380.84
ORD100256,2024-05-02,C4132,P255,Office Supplies,Central,Online,2,327.19,0.15,276.92
ORD100257,2023-03-16,C6478,P275,Technology,Central,Online,2,59.82,0.06,36.75
ORD100258,2023-05-07,C6142,P607,Office Supplies,Central,Online,6,243.69,0.14,116.93
ORD100259,2024-02-28,C6228,P468,Furniture,South,Online,8,126.44,0.1,78.34
ORD100260,2024-07-25,C4461,P491,Furniture,East,Online,2,443.03,0.08,197.61
ORD100261,2023-05-03,C4681,P530,Furniture,West,Online,2,73.51,0.09,58.27
ORD100262,2023-08-04,C1091,P766,Technology,East,Retail,8,31.88,0.1,20.79
ORD100263,2024-10-28,C6415,P874,Technology,South,Online,7,353.69,0.21,205.86
ORD100264,2024-12-13,C6181,P573,Office Supplies,Central,Online,9,229.38,0.1,99.96
ORD100265,2024-02-23,C9417,P677,Technology,East,Online,8,419.99,0.19,244.58
ORD100266,2023-11-18,C5538,P763,Office Supplies,Central,Online,9,41.94,0.18,33.12
ORD100267,2023-09-07,C5208,P720,Technology,East,Online,2,401.53,0.15,287.71
ORD100268,2024-03-16,C1609,P220,Technology,West,Online,3,23.48,0.0,10.26
ORD100269,2024-03-01,C2770,P983,Technology,Central,Retail,3,18.89,0.19,8.92
ORD100270,2023-08-01,C4041,P248,Technology,Central,Online,1,233.35,0.06,134.54
ORD100271,2023-01-17,C4394,P470,Furniture,South,Online,8,114.54,0.16,51.04
ORD100272,2023-04-20,C4263,P686,Technology,Central,Online,6,298.89,0.02,245.19
ORD100273,2024-11-21,C4546,P462,Furniture,South,Retail,1,17.78,0.01,12.33
ORD100274,2023-10-29,C7919,P318,Technology,Central,Retail,2,22.52,0.26,9.97
ORD100275,2023-12-14,C2179,P930,Technology,East,Retail,2,364.94,0.02,275.39
ORD100276,2023-12-03,C3990,P164,Office Supplies,East,Online,4,109.03,0.19,61.69
ORD100277,2024-07-17,C2465,P321,Furniture,South,Online,5,329.93,0.11,168.33
ORD100278,2023-02-16,C3769,P992,Technology,East,Online,3,376.21,0.07,246.98
ORD100279,2023-03-01,C7160,P756,Technology,West,Retail,9,34.37,0.1,13.95
ORD100280,2023-07-18,C1420,P178,Furniture,East,Online,2,386.03,-0.0,235.26
ORD100281,2023-12-17,C4054,P778,Office Supplies,West,Online,6,137.87,0.1,107.5
ORD100282,2024-04-28,C1213,P971,Office Supplies,Central,Online,4,197.83,0.01,161.75
ORD100283,2023-12-20,C9593,P187,Furniture,East,Online,4,47.89,0.07,26.54
ORD100284,2023-11-14,C7544,P472,Furniture,West,Online,8,420.12,0.17,289.5
ORD100285,2024-11-06,C3192,P520,Office Supplies,South,Online,9,282.56,0.12,141.87
ORD100286,2023-04-26,C2783,P217,Office Supplies,East,Online,1,254.81,0.0,166.16
ORD100287,2024-02-16,C1890,P280,Technology,East,Retail,5,484.43,0.17,249.15
ORD100288,2024-01-26,C5255,P256,Technology,West,Online,2,170.58,0.1,112.09
ORD100289,2023-12-07,C7780,P266,Office Supplies,South,Retail,4,445.94,0.06,212.84
ORD100290,2024-08-04,C6257,P462,Technology,West,Online,6,361.25,0.16,297.51
ORD100291,2023-07-12,C8928,P516,Furniture,Central,Retail,4,464.62,0.09,371.28
ORD100292,2024-11-17,C4094,P313,Furniture,East,Online,3,454.36,0.01,250.63
ORD100293,2023-08-27,C3502,P360,Technology,Central,Retail,3,495.56,0.25,371.42
ORD100294,2024-01-28,C5301,P272,Office Supplies,East,Online,3,70.18,0.1,31.09
ORD100295,2024-01-10,C2818,P815,Technology,Central,Online,3,399.03,0.09,292.55
ORD100296,2024-09-03,C9779,P290,Office Supplies,East,Online,4,403.22,0.07,212.54
ORD100297,2023-11-13,C2671,P915,Technology,South,Online,7,323.96,0.19,149.36
ORD100298,2023-07-24,C5309,P584,Office Supplies,West,Online,1,143.04,0.06,100.87
ORD100299,2023-01-16,C5697,P821,Office Supplies,East,Retail,1,482.75,0.0,295.16
ORD100300,2023-09-19,C1513,P672,Office Supplies,West,Retail,5,106.19,0.05,67.81
ORD100301,2024-08-17,C5215,P339,Office Supplies,East,Online,7,252.29,0.21,160.01
ORD100302,2023-01-08,C5091,P640,Technology,East,Online,3,263.14,0.17,112.3
ORD100303,2024-10-07,C3334,P346,Furniture,Central,Online,2,85.11,0.08,36.01
ORD100304,2024-01-26,C2151,P206,Furniture,West,Retail,6,362.65,0.21,243.17
ORD100305,2023-04-11,C1406,P329,Furniture,West,Retail,4,48.99,0.16,33.35
ORD100306,2023-08-06,C1077,P347,Office Supplies,South,Online,7,348.08,0.08,146.62
ORD100307,2024-02-03,C5332,P221,Furniture,East,Retail,2,425.06,0.09,242.41
ORD100308,2023-08-16,C1808,P121,Office Supplies,West,Online,2,177.95,0.13,120.26
ORD100309,2023-03-20,C9633,P948,Furniture,East,Retail,5,356.16,0.03,247.71
ORD100310,2024-04-24,C3202,P561,Technology,West,Retail,4,82.6,0.1,63.83
